Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
0,0,150,50,50,50,0,1.33E-13
1,1.2118295,236,80,78,78,0,1.36E-13
2,1.8981524,306,96,103,107,0,1.40E-13
3,2.2554762,323,99,113,111,0,1.44E-13
4,2.5870701,331,100,115,116,0,1.48E-13
5,2.8990235,341,101,117,123,0,1.51E-13
6,3.2012018,351,104,120,127,0,1.55E-13
7,3.5132958,358,110,121,127,0,1.60E-13
8,3.8225194,364,114,123,127,0,1.64E-13
9,4.1257924,373,119,125,129,0,1.68E-13
10,4.4637575,381,121,128,132,0,1.73E-13
11,4.7841412,391,123,133,135,0,1.77E-13
12,5.1040129,401,128,137,136,0,1.82E-13
13,5.4240013,413,132,139,142,0,1.87E-13
14,5.7576834,418,133,140,145,0,1.92E-13
15,6.0922557,437,137,147,153,0,1.97E-13
16,6.4497749,448,144,147,157,0,2.02E-13
17,6.8189565,460,145,153,162,0,2.07E-13
18,7.1744613,474,150,159,165,0,2.13E-13
19,7.5597361,483,151,162,170,0,2.18E-13
20,7.9701704,498,156,166,176,0,2.24E-13
21,8.3747411,508,159,171,178,0,2.30E-13
22,8.7824529,524,166,175,183,0,2.36E-13
23,9.211345,541,166,189,186,0,2.43E-13
24,9.6442423,549,168,194,187,0,2.49E-13
25,10.097444,558,171,200,187,0,2.56E-13
26,10.560505,579,178,205,196,0,2.63E-13
27,11.041737,599,187,212,200,0,2.70E-13
28,11.535836,621,192,220,209,0,2.77E-13
29,12.035094,635,199,221,215,0,2.84E-13
30,12.571041,651,206,224,221,0,2.92E-13
31,13.107342,665,212,231,222,0,3.00E-13
32,13.649713,677,216,236,225,0,3.08E-13
33,14.186749,696,222,244,230,0,3.16E-13
34,14.774116,719,229,249,241,0,3.25E-13
35,15.364129,735,232,256,247,0,3.34E-13
36,15.976912,753,240,260,253,0,3.43E-13
37,16.609922,782,248,268,266,0,3.52E-13
38,17.261968,807,257,275,275,0,3.61E-13
39,17.921655,823,264,280,279,0,3.71E-13
40,18.6246,853,277,289,287,0,3.81E-13
41,19.343509,867,280,296,291,0,3.92E-13
42,20.072579,890,286,303,301,0,4.02E-13
43,20.822435,910,293,312,305,0,4.13E-13
44,21.616806,933,300,322,311,0,4.25E-13
45,22.398686,952,305,330,317,0,4.36E-13
46,23.227676,985,314,344,327,0,4.48E-13
47,24.057648,1008,319,358,331,0,4.61E-13
48,24.931009,1046,330,370,346,0,4.73E-13
49,25.821226,1073,339,383,351,0,4.86E-13
50,26.76327,1119,359,395,365,0,5.00E-13
51,27.727511,1147,369,405,373,0,5.13E-13
52,28.711166,1178,382,413,383,0,5.28E-13
53,29.740884,1205,390,422,393,0,5.42E-13
54,30.780614,1240,400,436,404,0,5.57E-13
55,32.047079,1272,414,445,413,0,5.73E-13
56,33.175172,1301,422,459,420,0,5.89E-13
57,34.348535,1337,434,467,436,0,6.05E-13
58,35.553844,1370,445,476,449,0,6.22E-13
59,36.810159,1402,457,485,460,0,6.40E-13
60,38.100034,1449,474,502,473,0,6.58E-13
61,39.376804,1495,493,519,483,0,6.77E-13
62,40.647176,1543,508,538,497,0,6.96E-13
63,41.935154,1582,516,556,510,0,7.15E-13
64,43.224969,1628,536,569,523,0,7.36E-13
65,44.525871,1666,546,581,539,0,7.57E-13
66,45.827685,1716,564,601,551,0,7.78E-13
67,47.14654,1767,577,622,568,0,8.01E-13
68,48.455054,1812,593,634,585,0,8.24E-13
69,49.804119,1871,610,657,604,0,8.48E-13
70,51.178685,1929,629,678,622,0,8.72E-13
71,52.673425,1986,645,698,643,0,8.98E-13
72,54.082894,2046,666,722,658,0,9.24E-13
73,55.509217,2119,693,748,678,0,9.51E-13
74,56.946974,2184,711,771,702,0,9.79E-13
75,58.389273,2237,733,790,714,0,1.01E-12
76,59.870084,2300,756,816,728,0,1.04E-12
77,61.325646,2368,779,838,751,0,1.07E-12
78,62.8056,2435,806,861,768,0,1.10E-12
79,64.346815,2502,827,886,789,0,1.13E-12
80,65.954478,2573,850,913,810,0,1.17E-12
81,67.59163,2669,887,943,839,0,1.20E-12
82,69.334979,2745,909,968,868,0,1.24E-12
83,71.108545,2834,945,994,895,0,1.28E-12
84,72.949707,2911,973,1014,924,0,1.32E-12
85,74.748935,2987,995,1042,950,0,1.36E-12
86,76.621188,3086,1029,1072,985,0,1.40E-12
87,78.503666,3161,1047,1104,1010,0,1.44E-12
88,80.398627,3265,1082,1144,1039,0,1.49E-12
89,82.307211,3377,1117,1185,1075,0,1.53E-12
90,84.264239,3504,1169,1219,1116,0,1.58E-12
91,86.200675,3608,1206,1249,1153,0,1.63E-12
92,88.212109,3721,1239,1293,1189,0,1.68E-12
93,90.193335,3842,1277,1342,1223,0,1.74E-12
94,92.174939,3958,1314,1388,1256,0,1.79E-12
95,94.205639,4085,1354,1442,1289,0,1.85E-12
96,96.227251,4216,1405,1479,1332,0,1.91E-12
97,98.284102,4338,1455,1518,1365,0,1.97E-12
98,100.33797,4498,1506,1575,1417,0,2.04E-12
99,102.41416,4659,1555,1630,1474,0,2.10E-12
100,104.54159,4811,1608,1681,1522,0,2.17E-12
101,106.64427,4961,1655,1730,1576,0,2.24E-12
102,108.76243,5119,1708,1779,1632,0,2.32E-12
103,110.88606,5288,1759,1842,1687,0,2.40E-12
104,113.02324,5469,1828,1899,1742,0,2.48E-12
105,115.17229,5680,1904,1967,1809,0,2.56E-12
106,117.34363,5872,1967,2028,1877,0,2.65E-12
107,119.48112,6050,2019,2098,1933,0,2.73E-12
