Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
0,0,150,50,50,50,0,1.33E-13
1,1.575706,236,80,78,78,0,1.36E-13
2,2.4981147,306,96,103,107,0,1.40E-13
3,2.9558583,327,99,113,115,0,1.44E-13
4,3.3804845,334,100,115,119,0,1.48E-13
5,3.7835424,342,102,117,123,0,1.51E-13
6,4.1746154,350,104,120,126,0,1.55E-13
7,4.5709828,358,111,120,127,0,1.60E-13
8,4.9722876,367,116,122,129,0,1.64E-13
9,5.3699186,374,120,124,130,0,1.68E-13
10,5.8963237,382,122,129,131,0,1.73E-13
11,6.3116273,393,124,134,135,0,1.77E-13
12,6.7270403,406,129,138,139,0,1.82E-13
13,7.1518456,417,133,140,144,0,1.87E-13
14,7.5878304,419,134,140,145,0,1.92E-13
15,8.0380382,435,135,147,153,0,1.97E-13
16,8.5003785,446,142,147,157,0,2.02E-13
17,8.950819,456,144,150,162,0,2.07E-13
18,9.432455,468,149,156,163,0,2.13E-13
19,9.93517,477,151,159,167,0,2.18E-13
20,10.510367,492,154,165,173,0,2.24E-13
21,11.029336,508,159,172,177,0,2.30E-13
22,11.55705,525,166,177,182,0,2.36E-13
23,12.110064,542,169,190,183,0,2.43E-13
24,12.679139,552,171,195,186,0,2.49E-13
25,13.246882,564,174,203,187,0,2.56E-13
26,13.851271,579,180,206,193,0,2.63E-13
27,14.461886,595,185,212,198,0,2.70E-13
28,15.092325,617,191,219,207,0,2.77E-13
29,15.734199,634,198,220,216,0,2.84E-13
30,16.422239,652,204,224,224,0,2.92E-13
31,17.130746,668,211,233,224,0,3.00E-13
32,17.851587,683,217,240,226,0,3.08E-13
33,18.591587,704,223,246,235,0,3.16E-13
34,19.363583,724,230,251,243,0,3.25E-13
35,20.152715,742,236,257,249,0,3.34E-13
36,20.938226,763,245,262,256,0,3.43E-13
37,21.788792,783,251,269,263,0,3.52E-13
38,22.647644,803,255,277,271,0,3.61E-13
39,23.520348,825,264,282,279,0,3.71E-13
40,24.447653,844,271,286,287,0,3.81E-13
41,25.364229,862,280,291,291,0,3.92E-13
42,26.320219,888,289,301,298,0,4.02E-13
43,27.307766,905,293,308,304,0,4.13E-13
44,28.317987,932,298,321,313,0,4.25E-13
45,29.351892,957,308,331,318,0,4.36E-13
46,30.438556,989,317,347,325,0,4.48E-13
47,31.551741,1013,325,355,333,0,4.60E-13
48,32.69671,1044,333,368,343,0,4.73E-13
49,33.874644,1068,339,378,351,0,4.86E-13
50,35.106474,1105,353,392,360,0,5.00E-13
51,36.587052,1142,362,406,374,0,5.13E-13
52,37.881745,1166,369,412,385,0,5.28E-13
53,39.298891,1198,383,420,395,0,5.42E-13
54,40.692042,1234,399,429,406,0,5.57E-13
55,42.098947,1273,414,445,414,0,5.73E-13
56,43.606927,1307,425,458,424,0,5.89E-13
57,45.139314,1346,437,473,436,0,6.05E-13
58,46.741543,1375,448,482,445,0,6.22E-13
